FormDefectName,ProposedL1Code,ProposedL2Code,ProposedL2Name,LineType,SourceFile,Evidence
Damaged (Scratched),DAMAGE,SCRATCH,Scratch / Surface Damage,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.7 Ecoat Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:3
Bare Metal,COVERAGE,BARE-METAL,Bare Metal / Missing Coat,ECOAT,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.7 Ecoat Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:3
Rough Spots,TEXTURE,ROUGHNESS,Rough Spots,ECOAT,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.7 Ecoat Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:3
Build Up,APPLICATION,BUILD-UP,Build Up,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.7 Ecoat Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:3
Water Spots,CONTAMINATION,WATER-SPOTS,Water Spots / Water Marks,ECOAT,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.7 Ecoat Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:3
Rust,CORROSION,RUST,Rust,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.7 Ecoat Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:3
Paint in Threads,APPLICATION,PAINT-IN-THREADS,Paint in Threads,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.10 GreenBlue/8.2.1.3.10.1 GreenBlue Defect Tracking Powder.xlsx,Sheet:DEFECT TRACKING  Row:4
Light Coverage,COVERAGE,LIGHT-COVERAGE,Light Coverage / Thin Film,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.10 GreenBlue/8.2.1.3.10.1 GreenBlue Defect Tracking Powder.xlsx,Sheet:DEFECT TRACKING  Row:4
Damaged (Scratched),DAMAGE,SCRATCH,Scratch / Surface Damage,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.10 GreenBlue/8.2.1.3.10.1 GreenBlue Defect Tracking Powder.xlsx,Sheet:DEFECT TRACKING  Row:4
Back Ionization,APPLICATION,BACK-IONIZATION,Back Ionization,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.10 GreenBlue/8.2.1.3.10.1 GreenBlue Defect Tracking Powder.xlsx,Sheet:DEFECT TRACKING  Row:4
Orange Peel,TEXTURE,ORANGE-PEEL,Orange Peel,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.10 GreenBlue/8.2.1.3.10.1 GreenBlue Defect Tracking Powder.xlsx,Sheet:DEFECT TRACKING  Row:4
Debris,CONTAMINATION,DEBRIS,Debris,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.10 GreenBlue/8.2.1.3.10.1 GreenBlue Defect Tracking Powder.xlsx,Sheet:DEFECT TRACKING  Row:4
Hook Mark,DAMAGE,HOOK-MARK,Hook Mark / Hanger Mark,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.10 GreenBlue/8.2.1.3.10.1 GreenBlue Defect Tracking Powder.xlsx,Sheet:DEFECT TRACKING  Row:4
Build Up,APPLICATION,BUILD-UP,Build Up,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.10 GreenBlue/8.2.1.3.10.1 GreenBlue Defect Tracking Powder.xlsx,Sheet:DEFECT TRACKING  Row:4
Water,CONTAMINATION,WATER-SPOTS,Water Spots / Water Marks,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.10 GreenBlue/8.2.1.3.10.1 GreenBlue Defect Tracking Powder.xlsx,Sheet:DEFECT TRACKING  Row:4
Contamination,CONTAMINATION,CONTAMINATION,Contamination (General),POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.10 GreenBlue/8.2.1.3.10.1 GreenBlue Defect Tracking Powder.xlsx,Sheet:DEFECT TRACKING  Row:4
Rust,CORROSION,RUST,Rust,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.10 GreenBlue/8.2.1.3.10.1 GreenBlue Defect Tracking Powder.xlsx,Sheet:DEFECT TRACKING  Row:4
Paint in Threads,APPLICATION,PAINT-IN-THREADS,Paint in Threads,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.21 Presstran/8.2.1.3.21.2 Presstran Defect Tracking Form.xlsx,Sheet:DEFECT TRACKING  Row:4
Light Coverage,COVERAGE,LIGHT-COVERAGE,Light Coverage / Thin Film,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.21 Presstran/8.2.1.3.21.2 Presstran Defect Tracking Form.xlsx,Sheet:DEFECT TRACKING  Row:4
Damaged (Scratched),DAMAGE,SCRATCH,Scratch / Surface Damage,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.21 Presstran/8.2.1.3.21.2 Presstran Defect Tracking Form.xlsx,Sheet:DEFECT TRACKING  Row:4
Back Ionization,APPLICATION,BACK-IONIZATION,Back Ionization,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.21 Presstran/8.2.1.3.21.2 Presstran Defect Tracking Form.xlsx,Sheet:DEFECT TRACKING  Row:4
Orange Peel,TEXTURE,ORANGE-PEEL,Orange Peel,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.21 Presstran/8.2.1.3.21.2 Presstran Defect Tracking Form.xlsx,Sheet:DEFECT TRACKING  Row:4
Debris,CONTAMINATION,DEBRIS,Debris,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.21 Presstran/8.2.1.3.21.2 Presstran Defect Tracking Form.xlsx,Sheet:DEFECT TRACKING  Row:4
Hook Mark,DAMAGE,HOOK-MARK,Hook Mark / Hanger Mark,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.21 Presstran/8.2.1.3.21.2 Presstran Defect Tracking Form.xlsx,Sheet:DEFECT TRACKING  Row:4
Build Up,APPLICATION,BUILD-UP,Build Up,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.21 Presstran/8.2.1.3.21.2 Presstran Defect Tracking Form.xlsx,Sheet:DEFECT TRACKING  Row:4
Water,CONTAMINATION,WATER-SPOTS,Water Spots / Water Marks,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.21 Presstran/8.2.1.3.21.2 Presstran Defect Tracking Form.xlsx,Sheet:DEFECT TRACKING  Row:4
Contamination,CONTAMINATION,CONTAMINATION,Contamination (General),POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.21 Presstran/8.2.1.3.21.2 Presstran Defect Tracking Form.xlsx,Sheet:DEFECT TRACKING  Row:4
Rust,CORROSION,RUST,Rust,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.21 Presstran/8.2.1.3.21.2 Presstran Defect Tracking Form.xlsx,Sheet:DEFECT TRACKING  Row:4
Light Track @ Top,DAMAGE,TRACK-MARK,Track Mark,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.24 Warren/8.2.1.3.24.6  Warren Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:2
Light Track a@ bottom,DAMAGE,TRACK-MARK,Track Mark,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.24 Warren/8.2.1.3.24.6  Warren Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:2
Light Pulley @ top,DAMAGE,PULLEY-MARK,Pulley Mark,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.24 Warren/8.2.1.3.24.6  Warren Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:2
Light Pulley @ Bottom,DAMAGE,PULLEY-MARK,Pulley Mark,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.24 Warren/8.2.1.3.24.6  Warren Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:2
Fish Eyes,SURFACE,FISH-EYE,Fish Eyes,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.24 Warren/8.2.1.3.24.6  Warren Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:2
Dirt on Track,CONTAMINATION,DIRT,Dirt / Particles,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.24 Warren/8.2.1.3.24.6  Warren Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:2
Dirt on Pully,CONTAMINATION,DIRT,Dirt / Particles,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.24 Warren/8.2.1.3.24.6  Warren Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:2
Tight Clip Top,DAMAGE,CLIP-MARK,Clip Mark,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.24 Warren/8.2.1.3.24.6  Warren Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:2
Tight Clip Bottom,DAMAGE,CLIP-MARK,Clip Mark,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.24 Warren/8.2.1.3.24.6  Warren Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:2
Contamination,CONTAMINATION,CONTAMINATION,Contamination (General),POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.24 Warren/8.2.1.3.24.6  Warren Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:2
Heavy,COVERAGE,HEAVY-COAT,Excessive Film Build,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.24 Warren/8.2.1.3.24.6  Warren Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:2
Suface Scratches,DAMAGE,SCRATCH,Scratch / Surface Damage,ECOAT,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.26 Polycon/8.2.1.3.26.2 Polycon Ecoat Defect Tracking Sheet.xlsx,Sheet:sheet Row:3
Water Marks,CONTAMINATION,WATER-SPOTS,Water Spots / Water Marks,ECOAT,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.26 Polycon/8.2.1.3.26.2 Polycon Ecoat Defect Tracking Sheet.xlsx,Sheet:sheet Row:3
DIRT,CONTAMINATION,DIRT,Dirt / Particles,ECOAT,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.26 Polycon/8.2.1.3.26.2 Polycon Ecoat Defect Tracking Sheet.xlsx,Sheet:sheet Row:3
Dent,DAMAGE,DENT,Dent,ECOAT,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.26 Polycon/8.2.1.3.26.2 Polycon Ecoat Defect Tracking Sheet.xlsx,Sheet:sheet Row:3
Bent,DAMAGE,BENT,Bent,ECOAT,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.26 Polycon/8.2.1.3.26.2 Polycon Ecoat Defect Tracking Sheet.xlsx,Sheet:sheet Row:3
Scratches,DAMAGE,SCRATCH,Scratch / Surface Damage,ECOAT,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.26 Polycon/8.2.1.3.26.2 Polycon Ecoat Defect Tracking Sheet.xlsx,Sheet:sheet Row:3
Tool Marks,SUBSTRATE,TOOL-MARKS,Tool Marks,ECOAT,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.26 Polycon/8.2.1.3.26.2 Polycon Ecoat Defect Tracking Sheet.xlsx,Sheet:sheet Row:3
Over Sand,UNKNOWN,UNKNOWN,Over Sand,ECOAT,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.26 Polycon/8.2.1.3.26.2 Polycon Ecoat Defect Tracking Sheet.xlsx,Sheet:sheet Row:3
STUCK,UNKNOWN,UNKNOWN,STUCK,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.3 ABM/8.2.1.3.3.5 ABM Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:4
Dirt on Track,CONTAMINATION,DIRT,Dirt / Particles,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.3 ABM/8.2.1.3.3.5 ABM Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:4
Dirt on Pulley,CONTAMINATION,DIRT,Dirt / Particles,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.3 ABM/8.2.1.3.3.5 ABM Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:4
Light Coverage,COVERAGE,LIGHT-COVERAGE,Light Coverage / Thin Film,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.3 ABM/8.2.1.3.3.5 ABM Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:4
Large Hook marks,DAMAGE,HOOK-MARK,Hook Mark / Hanger Mark,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.3 ABM/8.2.1.3.3.5 ABM Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:4
Material Defect,SUBSTRATE,MATERIAL-DEFECT,Material Defect,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.3 ABM/8.2.1.3.3.5 ABM Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:4
Fisheyes,SURFACE,FISH-EYE,Fish Eyes,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.3 ABM/8.2.1.3.3.5 ABM Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:4
Contamination,CONTAMINATION,CONTAMINATION,Contamination (General),POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.3 ABM/8.2.1.3.3.5 ABM Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:4
Damaged (Scratched),DAMAGE,SCRATCH,Scratch / Surface Damage,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.3 ABM/8.2.1.3.3.5 ABM Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:4
Back Ionization,APPLICATION,BACK-IONIZATION,Back Ionization,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.3 ABM/8.2.1.3.3.5 ABM Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:4
OIL,CONTAMINATION,OIL,Oil Contamination,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.3 ABM/8.2.1.3.3.5 ABM Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:4
Hit Mark,DAMAGE,HIT-MARK,Hit/Impact Mark,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.3 ABM/8.2.1.3.3.5 ABM Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:4
Paint in Threads,APPLICATION,PAINT-IN-THREADS,Paint in Threads,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.35 JAC/8.2.1.3.35.3 Jac Defect tracking sheet.xlsx,Sheet:Powder line Jac Defect tracking Row:3
Light Coverage,COVERAGE,LIGHT-COVERAGE,Light Coverage / Thin Film,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.35 JAC/8.2.1.3.35.3 Jac Defect tracking sheet.xlsx,Sheet:Powder line Jac Defect tracking Row:3
Damaged (Scratched),DAMAGE,SCRATCH,Scratch / Surface Damage,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.35 JAC/8.2.1.3.35.3 Jac Defect tracking sheet.xlsx,Sheet:Powder line Jac Defect tracking Row:3
Back Ionization,APPLICATION,BACK-IONIZATION,Back Ionization,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.35 JAC/8.2.1.3.35.3 Jac Defect tracking sheet.xlsx,Sheet:Powder line Jac Defect tracking Row:3
Orange Peel,TEXTURE,ORANGE-PEEL,Orange Peel,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.35 JAC/8.2.1.3.35.3 Jac Defect tracking sheet.xlsx,Sheet:Powder line Jac Defect tracking Row:3
Debris,CONTAMINATION,DEBRIS,Debris,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.35 JAC/8.2.1.3.35.3 Jac Defect tracking sheet.xlsx,Sheet:Powder line Jac Defect tracking Row:3
Hook Mark,DAMAGE,HOOK-MARK,Hook Mark / Hanger Mark,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.35 JAC/8.2.1.3.35.3 Jac Defect tracking sheet.xlsx,Sheet:Powder line Jac Defect tracking Row:3
Build Up,APPLICATION,BUILD-UP,Build Up,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.35 JAC/8.2.1.3.35.3 Jac Defect tracking sheet.xlsx,Sheet:Powder line Jac Defect tracking Row:3
Water,CONTAMINATION,WATER-SPOTS,Water Spots / Water Marks,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.35 JAC/8.2.1.3.35.3 Jac Defect tracking sheet.xlsx,Sheet:Powder line Jac Defect tracking Row:3
Contamination,CONTAMINATION,CONTAMINATION,Contamination (General),POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.35 JAC/8.2.1.3.35.3 Jac Defect tracking sheet.xlsx,Sheet:Powder line Jac Defect tracking Row:3
Rust,CORROSION,RUST,Rust,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.35 JAC/8.2.1.3.35.3 Jac Defect tracking sheet.xlsx,Sheet:Powder line Jac Defect tracking Row:3
Hit mark,DAMAGE,HIT-MARK,Hit/Impact Mark,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.35 JAC/8.2.1.3.35.3 Jac Defect tracking sheet.xlsx,Sheet:Powder line Jac Defect tracking Row:3
Material defects,SUBSTRATE,MATERIAL-DEFECT,Material Defect,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.35 JAC/8.2.1.3.35.3 Jac Defect tracking sheet.xlsx,Sheet:Powder line Jac Defect tracking Row:3
Paint in Threads,APPLICATION,PAINT-IN-THREADS,Paint in Threads,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.36 MSSC/8.2.1.3.36.3 MSSC Powderline Offline  Defect Tracking Sheet.xlsx,Sheet:MSSC DEFECT TRACKING  Row:3
Light Coverage,COVERAGE,LIGHT-COVERAGE,Light Coverage / Thin Film,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.36 MSSC/8.2.1.3.36.3 MSSC Powderline Offline  Defect Tracking Sheet.xlsx,Sheet:MSSC DEFECT TRACKING  Row:3
Damaged (Scratched),DAMAGE,SCRATCH,Scratch / Surface Damage,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.36 MSSC/8.2.1.3.36.3 MSSC Powderline Offline  Defect Tracking Sheet.xlsx,Sheet:MSSC DEFECT TRACKING  Row:3
Back Ionization,APPLICATION,BACK-IONIZATION,Back Ionization,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.36 MSSC/8.2.1.3.36.3 MSSC Powderline Offline  Defect Tracking Sheet.xlsx,Sheet:MSSC DEFECT TRACKING  Row:3
Orange Peel,TEXTURE,ORANGE-PEEL,Orange Peel,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.36 MSSC/8.2.1.3.36.3 MSSC Powderline Offline  Defect Tracking Sheet.xlsx,Sheet:MSSC DEFECT TRACKING  Row:3
Debris,CONTAMINATION,DEBRIS,Debris,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.36 MSSC/8.2.1.3.36.3 MSSC Powderline Offline  Defect Tracking Sheet.xlsx,Sheet:MSSC DEFECT TRACKING  Row:3
Hook Mark,DAMAGE,HOOK-MARK,Hook Mark / Hanger Mark,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.36 MSSC/8.2.1.3.36.3 MSSC Powderline Offline  Defect Tracking Sheet.xlsx,Sheet:MSSC DEFECT TRACKING  Row:3
Build Up,APPLICATION,BUILD-UP,Build Up,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.36 MSSC/8.2.1.3.36.3 MSSC Powderline Offline  Defect Tracking Sheet.xlsx,Sheet:MSSC DEFECT TRACKING  Row:3
Water,CONTAMINATION,WATER-SPOTS,Water Spots / Water Marks,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.36 MSSC/8.2.1.3.36.3 MSSC Powderline Offline  Defect Tracking Sheet.xlsx,Sheet:MSSC DEFECT TRACKING  Row:3
Contamination,CONTAMINATION,CONTAMINATION,Contamination (General),POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.36 MSSC/8.2.1.3.36.3 MSSC Powderline Offline  Defect Tracking Sheet.xlsx,Sheet:MSSC DEFECT TRACKING  Row:3
Rust,CORROSION,RUST,Rust,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.36 MSSC/8.2.1.3.36.3 MSSC Powderline Offline  Defect Tracking Sheet.xlsx,Sheet:MSSC DEFECT TRACKING  Row:3
Discoloured dirt / spec,APPEARANCE,OFF-COLOR,Off Color / Discoloration,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.40 Accurate/8.2.1.3.40.2 Accurate Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Fish Eyes,SURFACE,FISH-EYE,Fish Eyes,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.40 Accurate/8.2.1.3.40.2 Accurate Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Heavy powder,COVERAGE,HEAVY-COAT,Excessive Film Build,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.40 Accurate/8.2.1.3.40.2 Accurate Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Cluster of Dirt,CONTAMINATION,DIRT,Dirt / Particles,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.40 Accurate/8.2.1.3.40.2 Accurate Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Lt. cov/ Dry spray,COVERAGE,LIGHT-COVERAGE,Light Coverage / Thin Film,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.40 Accurate/8.2.1.3.40.2 Accurate Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Off colour (Discoloured),APPEARANCE,OFF-COLOR,Off Color / Discoloration,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.40 Accurate/8.2.1.3.40.2 Accurate Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Touch Mark,DAMAGE,TOUCH-MARK,Touch Mark,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.40 Accurate/8.2.1.3.40.2 Accurate Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Hook Mark,DAMAGE,HOOK-MARK,Hook Mark / Hanger Mark,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.40 Accurate/8.2.1.3.40.2 Accurate Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Pinholes,SURFACE,PINHOLES,Pinholes,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.40 Accurate/8.2.1.3.40.2 Accurate Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Orange peel,TEXTURE,ORANGE-PEEL,Orange Peel,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.40 Accurate/8.2.1.3.40.2 Accurate Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Oil,CONTAMINATION,OIL,Oil Contamination,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.40 Accurate/8.2.1.3.40.2 Accurate Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
